St.no;Year;Mnth;Date;Time(NMT);TA
68860;2010;8;8;6;13.0
68860;2010;8;8;7;14.6
68860;2010;8;8;8;16.7
68860;2010;8;8;9;17.2
68860;2010;8;8;10;17.5
68860;2010;8;8;11;19.2
68860;2010;8;8;12;20.1
68860;2010;8;8;13;20.2
68860;2010;8;8;14;21.3
68860;2010;8;8;15;21.3
68860;2010;8;8;16;20.0
68860;2010;8;8;17;20.2
68860;2010;8;8;18;19.8
68860;2010;8;8;19;18.4
68860;2010;8;8;20;18.0
68860;2010;8;8;21;15.3
68860;2010;8;8;22;13.4
68860;2010;8;8;23;12.6
68860;2010;8;8;24;12.0
68860;2010;8;9;1;11.8
68860;2010;8;9;2;12.3
68860;2010;8;9;3;12.3
68860;2010;8;9;4;12.4
68860;2010;8;9;5;12.2
68860;2010;8;9;6;12.0
68860;2010;8;9;7;12.0
68860;2010;8;9;8;12.1
68860;2010;8;9;9;12.5
68860;2010;8;9;10;13.0
68860;2010;8;9;11;14.4
68860;2010;8;9;12;14.7
68860;2010;8;9;13;15.1
68860;2010;8;9;14;16.2
68860;2010;8;9;15;16.6
68860;2010;8;9;16;17.1
68860;2010;8;9;17;17.6
68860;2010;8;9;18;17.2
68860;2010;8;9;19;17.2
68860;2010;8;9;20;16.5
68860;2010;8;9;21;15.3
68860;2010;8;9;22;14.5
68860;2010;8;9;23;13.8
68860;2010;8;9;24;14.6
68860;2010;8;10;1;14.0
68860;2010;8;10;2;13.5
68860;2010;8;10;3;13.5
68860;2010;8;10;4;13.5
68860;2010;8;10;5;13.2
68860;2010;8;10;6;13.6
68860;2010;8;10;7;13.7
68860;2010;8;10;8;14.0
68860;2010;8;10;9;14.5
68860;2010;8;10;10;14.9
68860;2010;8;10;11;15.2
68860;2010;8;10;12;15.3
68860;2010;8;10;13;16.2
68860;2010;8;10;14;17.1
68860;2010;8;10;15;17.7
68860;2010;8;10;16;18.0
68860;2010;8;10;17;17.5
68860;2010;8;10;18;18.5
68860;2010;8;10;19;17.2
68860;2010;8;10;20;16.4
68860;2010;8;10;21;16.2
68860;2010;8;10;22;14.6
68860;2010;8;10;23;14.4
68860;2010;8;10;24;14.0
68860;2010;8;11;1;13.8
68860;2010;8;11;2;13.2
68860;2010;8;11;3;13.4
68860;2010;8;11;4;13.3
68860;2010;8;11;5;13.9
68860;2010;8;11;6;14.0
68860;2010;8;11;7;13.9
68860;2010;8;11;8;14.6
68860;2010;8;11;9;15.2
68860;2010;8;11;10;18.4
