St.no;Year;Mnth;Date;Time(NMT);TA
68860;2012;1;1;1;0.4
68860;2012;1;1;2;0.4
68860;2012;1;1;3;0.3
68860;2012;1;1;4;1.4
68860;2012;1;1;5;1.9
68860;2012;1;1;6;2.1
68860;2012;1;1;7;0.7
68860;2012;1;1;8;0.3
68860;2012;1;1;9;0.6
68860;2012;1;1;10;0.6
68860;2012;1;1;11;1.3
68860;2012;1;1;12;1.7
68860;2012;1;1;13;1.1
68860;2012;1;1;14;1.1
68860;2012;1;1;15;0.7
68860;2012;1;1;16;0.6
68860;2012;1;1;17;0.7
68860;2012;1;1;18;0.5
68860;2012;1;1;19;1.5
68860;2012;1;1;20;1.2
68860;2012;1;1;21;1.5
68860;2012;1;1;22;1.1
68860;2012;1;1;23;0.1
68860;2012;1;1;24;-0.3
68860;2012;1;2;1;-0.7
68860;2012;1;2;2;-0.5
68860;2012;1;2;3;-0.9
68860;2012;1;2;4;-0.2
68860;2012;1;2;5;-1.6
68860;2012;1;2;6;-2.3
68860;2012;1;2;7;-1.1
68860;2012;1;2;8;-0.3
68860;2012;1;2;9;-0.3
68860;2012;1;2;10;-1.5
68860;2012;1;2;11;-1.8
68860;2012;1;2;12;-1.2
68860;2012;1;2;13;-0.9
68860;2012;1;2;14;-0.9
68860;2012;1;2;15;-0.8
68860;2012;1;2;16;-1.4
68860;2012;1;2;17;-1.5
68860;2012;1;2;18;-2.1
68860;2012;1;2;19;-0.6
68860;2012;1;2;20;-0.4
68860;2012;1;2;21;-0.8
68860;2012;1;2;22;-0.6
68860;2012;1;2;23;-0.9
68860;2012;1;2;24;-1.2
68860;2012;1;3;1;-1.1
68860;2012;1;3;2;-2.2
68860;2012;1;3;3;-1.7
68860;2012;1;3;4;-2.9
68860;2012;1;3;5;-3.6
68860;2012;1;3;6;-3.3
68860;2012;1;3;7;-4.2
68860;2012;1;3;8;-3.4
68860;2012;1;3;9;-1.9
68860;2012;1;3;10;-2.3
68860;2012;1;3;11;-3.5
68860;2012;1;3;12;-2.2
68860;2012;1;3;13;0.9
68860;2012;1;3;14;1.1
68860;2012;1;3;15;1.1
68860;2012;1;3;16;1.0
68860;2012;1;3;17;1.4
68860;2012;1;3;18;1.2
68860;2012;1;3;19;1.9
68860;2012;1;3;20;2.9
68860;2012;1;3;21;3.5
68860;2012;1;3;22;3.1
68860;2012;1;3;23;3.3
68860;2012;1;3;24;3.1
68860;2012;1;4;1;2.9
68860;2012;1;4;2;2.9
68860;2012;1;4;3;2.3
68860;2012;1;4;4;1.0
68860;2012;1;4;5;0.3
68860;2012;1;4;6;0.2
68860;2012;1;4;7;0.5
68860;2012;1;4;8;0.0
68860;2012;1;4;9;0.0
68860;2012;1;4;10;0.0
68860;2012;1;4;11;-0.1
68860;2012;1;4;12;-0.2
68860;2012;1;4;13;-0.3
68860;2012;1;4;14;-0.3
68860;2012;1;4;15;-0.2
68860;2012;1;4;16;0.0
68860;2012;1;4;17;0.1
68860;2012;1;4;18;0.1
68860;2012;1;4;19;0.1
68860;2012;1;4;20;0.1
68860;2012;1;4;21;0.1
68860;2012;1;4;22;0.0
68860;2012;1;4;23;0.1
68860;2012;1;4;24;0.2
68860;2012;1;5;1;0.2
68860;2012;1;5;2;0.2
68860;2012;1;5;3;0.1
68860;2012;1;5;4;-0.2
68860;2012;1;5;5;-0.7
68860;2012;1;5;6;-1.3
68860;2012;1;5;7;-2.1
68860;2012;1;5;8;-2.4
68860;2012;1;5;9;-3.0
68860;2012;1;5;10;-2.9
68860;2012;1;5;11;-2.9
68860;2012;1;5;12;-2.8
68860;2012;1;5;13;-3.4
68860;2012;1;5;14;-4.2
68860;2012;1;5;15;-5.9
68860;2012;1;5;16;-6.0
68860;2012;1;5;17;-6.6
68860;2012;1;5;18;-5.0
68860;2012;1;5;19;-5.4
68860;2012;1;5;20;-4.2
68860;2012;1;5;21;-3.5
68860;2012;1;5;22;-3.7
68860;2012;1;5;23;-2.4
68860;2012;1;5;24;-2.4
68860;2012;1;6;1;-2.1
68860;2012;1;6;2;-1.3
68860;2012;1;6;3;-2.1
68860;2012;1;6;4;-2.6
68860;2012;1;6;5;-2.0
68860;2012;1;6;6;-1.8
68860;2012;1;6;7;-1.8
68860;2012;1;6;8;-1.3
68860;2012;1;6;9;0.1
68860;2012;1;6;10;-0.6
68860;2012;1;6;11;-0.1
68860;2012;1;6;12;1.1
68860;2012;1;6;13;-0.1
68860;2012;1;6;14;0.3
68860;2012;1;6;15;1.2
68860;2012;1;6;16;0.0
68860;2012;1;6;17;-0.6
68860;2012;1;6;18;-0.9
68860;2012;1;6;19;-1.8
68860;2012;1;6;20;-1.9
68860;2012;1;6;21;-2.9
68860;2012;1;6;22;-2.7
68860;2012;1;6;23;-3.0
68860;2012;1;6;24;-4.7
68860;2012;1;7;1;-4.6
68860;2012;1;7;2;-6.1
68860;2012;1;7;3;-7.1
68860;2012;1;7;4;-6.8
68860;2012;1;7;5;-5.0
68860;2012;1;7;6;-6.1
68860;2012;1;7;7;-4.6
68860;2012;1;7;8;-5.4
68860;2012;1;7;9;-3.6
68860;2012;1;7;10;-4.6
68860;2012;1;7;11;-5.2
68860;2012;1;7;12;-4.6
68860;2012;1;7;13;-5.5
68860;2012;1;7;14;-5.8
68860;2012;1;7;15;-5.4
68860;2012;1;7;16;-5.2
68860;2012;1;7;17;-4.8
68860;2012;1;7;18;-5.3
68860;2012;1;7;19;-5.4
68860;2012;1;7;20;-5.2
68860;2012;1;7;21;-4.5
68860;2012;1;7;22;-5.5
68860;2012;1;7;23;-7.0
68860;2012;1;7;24;-7.2
68860;2012;1;8;1;-6.6
68860;2012;1;8;2;-6.6
68860;2012;1;8;3;-7.0
68860;2012;1;8;4;-6.6
68860;2012;1;8;5;-7.3
68860;2012;1;8;6;-8.8
68860;2012;1;8;7;-8.8
68860;2012;1;8;8;-9.2
68860;2012;1;8;9;-10.4
68860;2012;1;8;10;-9.4
68860;2012;1;8;11;-8.3
68860;2012;1;8;12;-6.8
68860;2012;1;8;13;-5.8
68860;2012;1;8;14;-7.0
68860;2012;1;8;15;-6.5
68860;2012;1;8;16;-6.1
68860;2012;1;8;17;-5.2
68860;2012;1;8;18;-6.1
68860;2012;1;8;19;-6.4
68860;2012;1;8;20;-5.1
68860;2012;1;8;21;-5.8
68860;2012;1;8;22;-6.4
68860;2012;1;8;23;-7.0
68860;2012;1;8;24;-6.8
68860;2012;1;9;1;-7.7
68860;2012;1;9;2;-7.6
68860;2012;1;9;3;-6.6
68860;2012;1;9;4;-5.1
68860;2012;1;9;5;-7.1
68860;2012;1;9;6;-5.3
68860;2012;1;9;7;-3.6
68860;2012;1;9;8;-3.9
68860;2012;1;9;9;-4.5
68860;2012;1;9;10;-2.9
68860;2012;1;9;11;-1.5
68860;2012;1;9;12;-1.6
68860;2012;1;9;13;-2.6
68860;2012;1;9;14;-2.0
68860;2012;1;9;15;-1.0
68860;2012;1;9;16;-1.2
68860;2012;1;9;17;0.9
68860;2012;1;9;18;2.2
68860;2012;1;9;19;2.5
68860;2012;1;9;20;2.5
68860;2012;1;9;21;2.9
68860;2012;1;9;22;1.8
68860;2012;1;9;23;1.9
68860;2012;1;9;24;1.6
68860;2012;1;10;1;1.9
68860;2012;1;10;2;1.3
68860;2012;1;10;3;1.7
68860;2012;1;10;4;1.3
68860;2012;1;10;5;1.5
68860;2012;1;10;6;1.9
68860;2012;1;10;7;2.6
68860;2012;1;10;8;2.4
68860;2012;1;10;9;2.1
68860;2012;1;10;10;2.5
68860;2012;1;10;11;3.2
68860;2012;1;10;12;3.0
68860;2012;1;10;13;2.3
68860;2012;1;10;14;1.0
68860;2012;1;10;15;2.1
68860;2012;1;10;16;1.6
68860;2012;1;10;17;2.1
68860;2012;1;10;18;2.2
68860;2012;1;10;19;3.0
68860;2012;1;10;20;2.5
68860;2012;1;10;21;3.0
68860;2012;1;10;22;3.6
68860;2012;1;10;23;2.5
68860;2012;1;10;24;1.5
68860;2012;1;11;1;2.3
68860;2012;1;11;2;0.9
68860;2012;1;11;3;0.9
68860;2012;1;11;4;0.8
68860;2012;1;11;5;1.4
68860;2012;1;11;6;1.2
68860;2012;1;11;7;0.8
68860;2012;1;11;8;0.9
68860;2012;1;11;9;0.1
68860;2012;1;11;10;0.1
68860;2012;1;11;11;0.6
68860;2012;1;11;12;0.3
68860;2012;1;11;13;0.5
68860;2012;1;11;14;0.6
68860;2012;1;11;15;0.3
68860;2012;1;11;16;0.3
68860;2012;1;11;17;1.4
68860;2012;1;11;18;0.6
68860;2012;1;11;19;0.8
68860;2012;1;11;20;0.4
68860;2012;1;11;21;0.6
68860;2012;1;11;22;0.4
68860;2012;1;11;23;0.7
68860;2012;1;11;24;0.6
68860;2012;1;12;1;0.3
68860;2012;1;12;2;0.3
68860;2012;1;12;3;0.2
68860;2012;1;12;4;0.6
68860;2012;1;12;5;0.2
68860;2012;1;12;6;-0.3
68860;2012;1;12;7;-0.4
68860;2012;1;12;8;-0.4
68860;2012;1;12;9;-0.5
68860;2012;1;12;10;-0.5
68860;2012;1;12;11;-0.1
68860;2012;1;12;12;1.2
68860;2012;1;12;13;0.1
68860;2012;1;12;14;1.1
68860;2012;1;12;15;2.1
68860;2012;1;12;16;2.0
68860;2012;1;12;17;1.9
68860;2012;1;12;18;1.3
68860;2012;1;12;19;0.5
68860;2012;1;12;20;0.5
68860;2012;1;12;21;1.2
68860;2012;1;12;22;1.9
68860;2012;1;12;23;1.8
