St.no;Year;Mnth;Date;Time(NMT);TA
68860;2010;1;7;20;-19.4
68860;2010;1;7;21;-19.2
68860;2010;1;7;22;-19.6
68860;2010;1;7;23;-17.7
68860;2010;1;7;24;-16.1
68860;2010;1;8;1;-19.1
68860;2010;1;8;2;-18.0
68860;2010;1;8;3;-16.8
68860;2010;1;8;4;-19.5
68860;2010;1;8;5;-18.5
68860;2010;1;8;6;-18.6
68860;2010;1;8;7;-16.6
68860;2010;1;8;8;-19.0
68860;2010;1;8;9;-18.9
68860;2010;1;8;10;-19.3
68860;2010;1;8;11;-17.8
68860;2010;1;8;12;-16.9
68860;2010;1;8;13;-18.0
68860;2010;1;8;14;-17.3
68860;2010;1;8;15;-17.5
68860;2010;1;8;16;-15.0
68860;2010;1;8;17;-16.8
68860;2010;1;8;18;-18.4
68860;2010;1;8;19;-17.8
68860;2010;1;8;20;-15.9
68860;2010;1;8;21;-16.6
68860;2010;1;8;22;-17.9
68860;2010;1;8;23;-16.7
68860;2010;1;8;24;-16.5
68860;2010;1;9;1;-14.6
68860;2010;1;9;2;-16.1
68860;2010;1;9;3;-16.4
68860;2010;1;9;4;-14.2
68860;2010;1;9;5;-15.5
68860;2010;1;9;6;-12.7
68860;2010;1;9;7;-15.8
68860;2010;1;9;8;-15.7
68860;2010;1;9;9;-15.3
68860;2010;1;9;10;-14.1
68860;2010;1;9;11;-13.0
68860;2010;1;9;12;-12.3
68860;2010;1;9;13;-12.2
68860;2010;1;9;14;-11.8
68860;2010;1;9;15;-13.7
68860;2010;1;9;16;-12.7
68860;2010;1;9;17;-11.3
68860;2010;1;9;18;-12.1
68860;2010;1;9;19;-12.1
68860;2010;1;9;20;-12.2
68860;2010;1;9;21;-11.5
68860;2010;1;9;22;-12.6
68860;2010;1;9;23;-15.0
68860;2010;1;9;24;-14.8
68860;2010;1;10;1;-13.4
68860;2010;1;10;2;-13.9
68860;2010;1;10;3;-14.5
68860;2010;1;10;4;-14.3
68860;2010;1;10;5;-14.2
68860;2010;1;10;6;-13.8
68860;2010;1;10;7;-13.3
68860;2010;1;10;8;-13.0
68860;2010;1;10;9;-14.6
68860;2010;1;10;10;-14.3
68860;2010;1;10;11;-14.0
68860;2010;1;10;12;-12.4
68860;2010;1;10;13;-11.2
68860;2010;1;10;14;-10.3
68860;2010;1;10;15;-9.7
68860;2010;1;10;16;-8.9
68860;2010;1;10;17;-8.3
68860;2010;1;10;18;-7.7
68860;2010;1;10;19;-7.5
68860;2010;1;10;20;-7.0
68860;2010;1;10;21;-6.4
68860;2010;1;10;22;-6.7
68860;2010;1;10;23;-5.9
68860;2010;1;10;24;-5.5
68860;2010;1;11;1;-5.4
68860;2010;1;11;2;-4.7
68860;2010;1;11;3;-4.3
68860;2010;1;11;4;-3.9
68860;2010;1;11;5;-4.0
68860;2010;1;11;6;-3.9
68860;2010;1;11;7;-3.6
68860;2010;1;11;8;-4.2
68860;2010;1;11;9;-4.1
68860;2010;1;11;10;-3.7
68860;2010;1;11;11;-3.1
68860;2010;1;11;12;-2.6
68860;2010;1;11;13;-2.8
68860;2010;1;11;14;-3.2
68860;2010;1;11;15;-2.3
68860;2010;1;11;16;-2.7
68860;2010;1;11;17;-3.7
68860;2010;1;11;18;-3.1
68860;2010;1;11;19;-3.7
68860;2010;1;11;20;-4.1
68860;2010;1;11;21;-5.9
68860;2010;1;11;22;-5.1
68860;2010;1;11;23;-5.9
68860;2010;1;11;24;-5.5
68860;2010;1;12;1;-8.1
68860;2010;1;12;2;-6.7
68860;2010;1;12;3;-6.3
68860;2010;1;12;4;-6.9
68860;2010;1;12;5;-8.2
68860;2010;1;12;6;-9.5
68860;2010;1;12;7;-9.2
68860;2010;1;12;8;-6.9
68860;2010;1;12;9;-7.1
68860;2010;1;12;10;-8.7
68860;2010;1;12;11;-7.4
68860;2010;1;12;12;-7.6
68860;2010;1;12;13;-7.2
68860;2010;1;12;14;-7.4
68860;2010;1;12;15;-7.2
68860;2010;1;12;16;-7.3
68860;2010;1;12;17;-7.8
68860;2010;1;12;18;-6.9
68860;2010;1;12;19;-6.2
68860;2010;1;12;20;-6.7
68860;2010;1;12;21;-5.3
68860;2010;1;12;22;-7.5
68860;2010;1;12;23;-8.0
68860;2010;1;12;24;-8.8
68860;2010;1;13;1;-9.8
68860;2010;1;13;2;-10.6
68860;2010;1;13;3;-10.0
68860;2010;1;13;4;-9.5
68860;2010;1;13;5;-10.8
68860;2010;1;13;6;-8.3
68860;2010;1;13;7;-8.9
68860;2010;1;13;8;-9.2
68860;2010;1;13;9;-9.4
68860;2010;1;13;10;-8.7
68860;2010;1;13;11;-10.4
68860;2010;1;13;12;-10.5
68860;2010;1;13;13;-8.9
68860;2010;1;13;14;-7.6
68860;2010;1;13;15;-6.8
68860;2010;1;13;16;-7.3
68860;2010;1;13;17;-7.1
68860;2010;1;13;18;-8.3
68860;2010;1;13;19;-9.1
68860;2010;1;13;20;-9.6
68860;2010;1;13;21;-7.8
68860;2010;1;13;22;-9.8
68860;2010;1;13;23;-7.7
68860;2010;1;13;24;-7.7
68860;2010;1;14;1;-8.0
68860;2010;1;14;2;-8.7
68860;2010;1;14;3;-9.7
68860;2010;1;14;4;-9.7
68860;2010;1;14;5;-11.0
68860;2010;1;14;6;-12.2
68860;2010;1;14;7;-11.7
68860;2010;1;14;8;-11.0
68860;2010;1;14;9;-11.2
68860;2010;1;14;10;-12.2
68860;2010;1;14;11;-11.4
68860;2010;1;14;12;-9.1
68860;2010;1;14;13;-9.7
68860;2010;1;14;14;-9.3
68860;2010;1;14;15;-9.2
68860;2010;1;14;16;-8.4
68860;2010;1;14;17;-8.6
