0.248,0.232,0.225,0.221,0.215,0.214,0.212,0.206,0.189,0.189,0.208,0.225,0.227,0.225,0.226,0.232,0.241,0.256,0.262,0.256,0.240,0.228,0.218,0.191
0.228,0.222,0.215,0.215,0.224,0.234,0.248,0.265,0.285,0.294,0.302,0.301,0.284,0.275,0.281,0.291,0.292,0.294,0.277,0.271,0.264,0.258,0.248,0.228
0.225,0.198,0.178,0.178,0.190,0.225,0.250,0.258,0.261,0.260,0.260,0.259,0.259,0.260,0.259,0.262,0.263,0.262,0.261,0.256,0.249,0.237,0.224,0.189
0.177,0.176,0.172,0.174,0.186,0.199,0.223,0.245,0.255,0.254,0.257,0.257,0.256,0.256,0.258,0.259,0.262,0.263,0.261,0.257,0.252,0.244,0.236,0.210
0.217,0.210,0.209,0.211,0.218,0.220,0.233,0.257,0.270,0.271,0.275,0.275,0.270,0.268,0.272,0.279,0.289,0.295,0.270,0.261,0.255,0.241,0.228,0.221
0.221,0.214,0.207,0.205,0.206,0.214,0.221,0.239,0.252,0.260,0.264,0.265,0.266,0.267,0.268,0.273,0.287,0.286,0.283,0.273,0.264,0.258,0.249,0.241
0.253,0.235,0.221,0.216,0.221,0.225,0.219,0.227,0.248,0.256,0.261,0.260,0.255,0.254,0.259,0.268,0.278,0.304,0.293,0.272,0.261,0.247,0.242,0.225
0.238,0.234,0.231,0.230,0.231,0.228,0.218,0.220,0.227,0.233,0.252,0.268,0.269,0.268,0.255,0.255,0.287,0.345,0.331,0.311,0.296,0.282,0.269,0.261
0.268,0.256,0.251,0.249,0.249,0.277,0.330,0.453,0.494,0.450,0.433,0.430,0.427,0.420,0.401,0.389,0.398,0.437,0.419,0.402,0.309,0.277,0.258,0.249
0.243,0.239,0.235,0.222,0.234,0.259,0.280,0.283,0.406,0.393,0.391,0.406,0.400,0.406,0.399,0.398,0.421,0.469,0.451,0.314,0.276,0.267,0.253,0.246
0.242,0.235,0.232,0.225,0.231,0.250,0.261,0.287,0.320,0.304,0.292,0.301,0.306,0.309,0.309,0.326,0.351,0.362,0.316,0.290,0.271,0.262,0.251,0.241
0.240,0.235,0.227,0.221,0.224,0.245,0.258,0.287,0.293,0.288,0.278,0.282,0.287,0.277,0.283,0.274,0.287,0.294,0.285,0.270,0.261,0.258,0.253,0.240
0.218,0.195,0.190,0.202,0.216,0.231,0.256,0.288,0.292,0.275,0.272,0.270,0.265,0.259,0.259,0.260,0.265,0.272,0.268,0.259,0.254,0.252,0.246,0.231
0.231,0.221,0.216,0.224,0.227,0.237,0.240,0.247,0.252,0.256,0.259,0.261,0.259,0.260,0.261,0.271,0.297,0.299,0.297,0.278,0.268,0.264,0.263,0.260
0.262,0.259,0.258,0.257,0.251,0.257,0.255,0.260,0.261,0.267,0.273,0.277,0.280,0.276,0.282,0.287,0.290,0.290,0.286,0.284,0.280,0.274,0.274,0.264
0.261,0.258,0.256,0.258,0.257,0.267,0.272,0.292,0.314,0.347,0.324,0.312,0.308,0.312,0.348,0.383,0.402,0.314,0.301,0.298,0.292,0.286,0.269,0.264
0.263,0.259,0.257,0.259,0.264,0.282,0.290,0.378,0.455,0.407,0.378,0.383,0.401,0.393,0.383,0.385,0.412,0.472,0.401,0.320,0.299,0.294,0.278,0.264
0.261,0.257,0.255,0.256,0.261,0.274,0.288,0.360,0.400,0.337,0.332,0.332,0.331,0.315,0.318,0.315,0.326,0.315,0.307,0.285,0.271,0.268,0.261,0.253
0.244,0.239,0.239,0.241,0.250,0.260,0.287,0.299,0.326,0.308,0.298,0.310,0.317,0.317,0.301,0.302,0.325,0.343,0.315,0.289,0.281,0.277,0.265,0.259
0.244,0.242,0.232,0.231,0.241,0.252,0.289,0.352,0.382,0.351,0.340,0.346,0.344,0.323,0.315,0.328,0.345,0.385,0.344,0.301,0.279,0.280,0.270,0.264
0.263,0.259,0.257,0.256,0.254,0.253,0.253,0.260,0.260,0.264,0.265,0.264,0.263,0.258,0.255,0.255,0.264,0.281,0.276,0.263,0.259,0.253,0.251,0.235
0.228,0.214,0.205,0.202,0.203,0.211,0.220,0.223,0.229,0.238,0.242,0.245,0.244,0.243,0.244,0.249,0.257,0.280,0.300,0.285,0.272,0.264,0.261,0.255
