#Y-2010
#M-Jan
1.29, 1.25, 1.26, 1.16, 1.16, 1.24, 2.13, 3.37, 2.10, 1.46, 2.95, 2.83, 2.82, 2.67, 2.46, 2.02, 3.53, 2.09, 5.16, 2.17, 1.96, 2.33, 2.31, 2.32
0.78, 0.97, 1.34, 1.50, 1.43, 1.54, 1.59, 2.76, 1.67, 1.57, 3.23, 4.32, 2.90, 3.54, 3.18, 2.11, 5.03, 3.18, 4.16, 4.10, 2.52, 2.39, 2.36, 2.23
1.68, 0.93, 1.00, 1.06, 1.12, 1.15, 1.87, 3.21, 2.03, 1.93, 3.09, 3.15, 2.52, 2.26, 1.32, 1.59, 2.86, 2.22, 4.26, 1.03, 1.72, 1.20, 1.11, 1.10
0.66, 0.79, 0.81, 1.01, 1.01, 1.09, 1.92, 3.62, 1.74, 1.85, 4.42, 3.36, 2.52, 2.27, 4.23, 1.23, 5.29, 1.51, 3.38, 4.81, 2.65, 2.47, 2.42, 2.30
1.72, 1.23, 1.21, 1.44, 1.54, 1.47, 1.45, 2.95, 1.85, 1.92, 3.81, 3.94, 3.23, 3.02, 2.57, 2.82, 7.34, 3.75, 4.38, 4.40, 2.85, 2.84, 2.86, 2.71
1.88, 1.60, 1.74, 1.81, 1.83, 1.76, 1.72, 3.04, 1.96, 2.01, 3.77, 3.80, 3.62, 3.12, 3.06, 2.85, 5.20, 1.46, 4.29, 4.48, 2.89, 2.85, 2.83, 2.71
0.95, 1.18, 1.62, 1.76, 1.77, 1.78, 1.87, 6.81, 8.07, 7.84, 9.85, 7.82, 6.50, 5.40, 5.70, 6.28, 15.54, 3.53, 8.70, 7.34, 4.49, 3.60, 2.81, 2.68
1.92, 1.61, 1.62, 1.80, 1.78, 1.76, 6.39, 44.05, 23.04, 32.59, 20.66, 17.31, 13.12, 11.74, 9.65, 9.36, 9.34, 13.16, 13.41, 9.05, 4.42, 3.10, 2.85, 2.67
1.63, 1.17, 1.50, 1.46, 1.51, 1.42, 1.69, 3.92, 2.76, 2.00, 3.45, 4.24, 3.82, 3.47, 2.23, 2.05, 4.55, 2.97, 3.56, 3.79, 2.49, 2.56, 2.57, 2.47
0.99, 0.96, 1.31, 1.45, 1.54, 1.61, 1.57, 2.94, 1.88, 2.57, 4.24, 4.10, 3.63, 3.34, 2.00, 1.81, 4.18, 2.33, 5.15, 2.23, 2.18, 2.35, 2.32, 2.22
1.71, 1.06, 0.98, 1.12, 1.28, 1.27, 2.18, 8.18, 1.60, 3.72, 6.19, 4.80, 2.64, 1.99, 2.08, 2.65, 3.06, 3.43, 4.58, 3.59, 2.41, 2.35, 2.36, 2.30
1.72, 0.79, 0.93, 1.13, 1.30, 1.45, 2.34, 3.95, 2.86, 3.87, 2.98, 3.26, 2.71, 1.93, 2.00, 1.97, 3.72, 1.28, 3.58, 3.55, 2.36, 2.43, 2.43, 2.36
1.88, 0.85, 1.19, 1.45, 1.54, 1.44, 2.34, 3.34, 1.86, 1.71, 3.56, 3.41, 2.63, 2.05, 1.84, 1.98, 3.64, 1.26, 5.78, 2.35, 1.98, 2.46, 2.44, 2.43
1.84, 1.28, 1.25, 1.43, 1.55, 1.55, 1.46, 4.04, 2.56, 1.88, 3.71, 3.31, 2.70, 2.29, 2.03, 2.15, 5.20, 2.81, 6.44, 2.51, 2.14, 2.48, 2.56, 2.53
1.92, 1.87, 1.17, 1.31, 1.48, 1.51, 1.63, 7.80, 2.23, 5.20, 3.24, 3.37, 3.05, 2.17, 1.83, 1.85, 3.42, 2.71, 3.71, 3.71, 2.45, 2.44, 2.40, 2.39
1.54, 0.87, 0.93, 0.96, 1.06, 1.03, 1.93, 3.30, 2.00, 2.15, 3.26, 3.34, 2.41, 2.18, 1.40, 1.33, 3.37, 2.12, 4.45, 2.12, 1.90, 2.09, 2.08, 2.05
0.69, 0.69, 0.74, 1.02, 1.09, 1.16, 1.20, 2.53, 1.37, 1.17, 2.84, 3.22, 2.51, 1.96, 2.30, 2.16, 3.41, 0.94, 4.22, 2.13, 1.87, 2.13, 2.16, 1.86
0.82, 0.77, 0.69, 0.87, 0.95, 1.17, 2.14, 3.80, 1.69, 1.49, 3.18, 2.55, 1.80, 1.64, 1.49, 1.45, 2.70, 2.31, 4.75, 2.20, 1.98, 2.17, 1.93, 1.33
0.82, 0.69, 0.71, 0.90, 1.11, 1.24, 1.27, 2.77, 1.56, 1.40, 3.08, 2.44, 1.64, 1.43, 1.55, 1.57, 1.66, 5.00, 2.33, 2.75, 2.17, 2.20, 2.21, 2.13
1.32, 0.87, 0.96, 1.02, 1.09, 1.09, 1.05, 2.75, 1.54, 1.43, 3.16, 2.67, 1.93, 1.53, 1.37, 1.44, 2.92, 1.04, 4.63, 2.16, 1.97, 2.23, 2.20, 2.10
1.33, 0.86, 0.87, 0.99, 1.04, 1.08, 1.11, 2.96, 2.68, 2.38, 3.60, 2.68, 1.81, 1.64, 1.49, 1.49, 1.58, 3.87, 2.33, 2.96, 2.18, 2.21, 2.17, 2.10
1.27, 0.85, 0.84, 0.95, 0.94, 1.03, 2.08, 4.05, 1.53, 1.38, 3.13, 2.56, 1.90, 1.73, 1.72, 1.73, 3.25, 1.17, 4.87, 2.17, 1.97, 2.24, 2.20, 2.17
1.76, 0.75, 0.88, 1.18, 1.30, 1.32, 1.35, 2.72, 2.40, 2.30, 4.03, 2.60, 1.99, 2.60, 2.56, 1.59, 4.09, 2.48, 5.11, 2.24, 2.02, 2.30, 2.30, 1.30
0.92, 0.89, 0.96, 1.14, 1.30, 1.24, 2.19, 3.49, 1.39, 1.39, 3.99, 3.60, 2.92, 2.51, 2.52, 1.74, 1.69, 3.94, 2.21, 3.04, 2.26, 2.22, 2.17, 1.93
0.87, 0.73, 0.70, 0.83, 0.93, 1.17, 2.27, 7.25, 2.53, 1.74, 3.64, 2.68, 1.82, 1.70, 1.74, 1.89, 3.33, 3.24, 2.05, 3.47, 2.21, 2.15, 2.11, 2.00
1.44, 0.85, 0.80, 0.85, 0.97, 1.08, 1.24, 5.83, 0.89, 1.93, 3.94, 2.79, 1.68, 1.58, 1.53, 1.61, 3.78, 3.21, 4.05, 3.38, 2.19, 2.15, 2.09, 2.01
1.70, 1.66, 1.20, 0.83, 1.01, 1.01, 2.06, 4.55, 0.84, 1.48, 4.24, 1.44, 1.44, 1.30, 1.28, 1.37, 2.30, 1.06, 4.15, 2.14, 2.19, 2.18, 2.16, 2.09
1.71, 1.17, 0.84, 0.97, 1.07, 1.07, 2.16, 3.30, 1.69, 1.50, 3.30, 2.53, 1.61, 1.47, 1.53, 1.70, 3.77, 2.94, 2.62, 3.45, 2.45, 2.48, 2.31, 2.28
1.84, 0.89, 0.97, 1.17, 1.30, 1.39, 2.78, 13.18, 3.50, 2.56, 5.30, 3.98, 2.93, 2.52, 2.08, 2.53, 2.55, 3.54, 4.39, 4.08, 2.54, 2.58, 2.54, 2.56
2.01, 0.90, 1.26, 1.55, 1.60, 1.68, 1.65, 3.13, 1.81, 1.59, 3.49, 4.42, 2.67, 3.21, 2.00, 2.05, 5.86, 3.21, 4.19, 4.30, 2.94, 2.99, 2.82, 2.85
2.14, 1.06, 1.49, 1.68, 1.87, 1.92, 2.86, 4.38, 1.88, 1.87, 3.92, 3.84, 4.22, 2.75, 2.30, 2.41, 4.76, 2.87, 7.33, 2.72, 2.53, 2.84, 2.85, 2.84
